Num,UserId,Subject IDs,Subject Name,Time,Duration,Source,Source Details,IP,NodeId,Node,Env_Q1,Env_Q2_item1,Env_Q2_item2,Env_Q2_item3,Env_Q2_item4,Env_Q3,Env_Q4,Env_Q5,Env_Q6,Env_Q7,Env_Q8,Env_Q9,Env_Q10,Env_Q11,NodeId,Node,Env_Q1,Env_Q2,Env_Q3,Env_Q4,Env_Q5,
序号,用户ID,被试者记录ID,被试者昵称,提交答卷时间,所用时间,来源,来源详情,IP,节点id,节点名称,1、您是否参加过类似的实验？词汇评估？图形匹配？问卷调查？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,2、您参与过类似的哪种实验？,3、距离您上次参加此类测试的时间间隔为：,4、您在进行实验的过程中，实验是否正常进行？,5、您在按键行为实验的全程，是否全屏进行？,6、请你描述在什么时候退出了全屏？,7、请您描述一下具体什么问题，以及发生问题的实验阶段？,8、您在进行实验的过程中，是否受到干扰？,9、请您描述一下具体受到什么干扰，以及干扰发生的时间点？,10、对此实验的建议和意见,11、您认为该实验的目的是什么？,节点id,节点名称,1、您当前是否处于一个安静的环境？,2、您当前设备的网络环境是否稳定？,3、您是否已经退出电脑上登陆的所有可能弹窗的相关软件 ？,4、您的手机是否也保持熄屏状态，或者不在视线范围内 ？,5、您是否平放电脑，并且保持身体挺直？,
1,	697447755366268928,	780764167807438849,	小胡,	2023-11-25 13:42:06,1小时43分54秒,WEB,直接访问,223.153.20.118,	780763000175992836,问题反馈,是,词汇评估（评估—再认）,图形匹配（图形—人称词标签）,类似的问卷调查,-888,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,这也太难啦。	,研究人的专注	,	780763000977104898,测试环境-1,是,是,是,是,是,
2,	732578051896119298,	780766345544474626,	用户11111号,	2023-11-25 13:11:13,1小时4分30秒,WEB,直接访问,42.49.109.88,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,探究人对一些品质的感知能力	,	780763000977104898,测试环境-1,是,是,是,是,是,
3,	644523506599460864,	780774954399698946,	夜雨蔚蓝,	2023-11-25 14:10:18,1小时29分22秒,WEB,直接访问,182.123.70.147,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,我觉得实验是为了判断反应能力，在错误的时候调整自己思绪的，纠正错误的能力	,	780763000977104898,测试环境-1,是,是,是,是,是,
4,	732379307938418690,	780775058573500418,	纯如,	2023-11-25 13:50:45,1小时9分25秒,WEB,直接访问,221.204.171.229,	780763000175992836,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,B.半个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,强化短时记忆	,	780763000977104898,测试环境-1,是,是,是,是,是,
5,	708989653960622080,	780778571286323202,	卡布奇诺01,	2023-11-25 14:06:12,1小时10分54秒,WEB,直接访问,103.116.121.20,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有	,让人有良好的品质	,	780763000977104898,测试环境-1,是,是,是,是,是,
6,	687568214028189696,	780801616692518913,	应咏,	2023-11-25 15:39:42,1小时12分49秒,WEB,直接访问,219.151.28.153,	780763000175992836,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,没有	,记忆力	,	780763000977104898,测试环境-1,是,是,是,是,是,
7,	631124847648309248,	780834716042661890,	xiaoxion,	2023-11-25 17:36:55,58分31秒,WEB,直接访问,112.47.58.63,	780763000175992836,问题反馈,否,-888,-888,-888,从无,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,无	,	780763000977104898,测试环境-1,是,是,是,是,是,
8,	682886971621638144,	780836124347211777,	恰恰财神到,	2023-11-25 18:03:14,1小时19分14秒,WEB,直接访问,111.173.200.162,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,考察专注力及反应能力	,	780763000977104898,测试环境-1,是,是,是,是,是,
9,	740167970172702721,	780836400911355905,	鸣鹤,	2023-11-25 17:58:09,1小时13分3秒,WEB,直接访问,61.168.62.209,	780763000175992836,问题反馈,是,-888,图形匹配（图形—人称词标签）,-888,-888,C.一个月内,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,探究自我能力	,	780763000977104898,测试环境-1,是,是,是,是,是,
10,	723547879209172992,	780845292848291842,	lulaoshi,	2023-11-25 18:24:03,1小时3分37秒,WEB,直接访问,112.40.53.75,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,不知道，只知道很难，一直全神贯注去做，眼睛很干	,	780763000977104898,测试环境-1,是,是,是,是,是,
11,	768804353862799361,	780859560335384577,	欣欣啊,	2023-11-25 19:56:34,1小时39分27秒,WEB,直接访问,124.15.151.9,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,由于day1和day2实验时间间隔很短，脑子还是有在做day1的记忆，所以做day2的时候，我有时候会忘了到底什么才是判别方法，会产生一定的干扰，而且，在短时间判断，有些判断可能是下意识的操作，反而是不经过大脑的，所以要必须高度集中；当图形判断之后，会出现正确还是错误，这其实会对我们的内心造成一定的干扰，当看到自己选错了之后，内心会出现慌乱，导致会接连出现错误；在最后的朋友和自己选词的阶段，我是完全没有料想到后面会出一个判断词的熟悉程度，而且判断该词在谁身上，这很考验瞬间记忆，所以如果我觉得主试的实验目的是这个，那很成功，我觉得这个实验让我收获了很多，也反思了很多，预祝主试一切顺利啦！	,我觉得是考验下意识反映和瞬间记忆	,	780763000977104898,测试环境-1,是,是,是,是,是,
12,	673561434503774208,	780882785522159618,	唠唠兔,	2023-11-25 20:59:58,1小时10分33秒,WEB,直接访问,113.89.188.103,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,很棒的试验，满意 支持。	,专注，自信以及内心想法	,	780763000977104898,测试环境-1,是,是,是,是,是,
13,	634800368890413056,	780889856510402562,	加多宝,	2023-11-25 21:31:36,1小时14分5秒,WEB,直接访问,120.226.148.217,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,感觉做多了会疲惫	,朋友，跟自己的行为，性格	,	780763000977104898,测试环境-1,是,是,是,是,是,
14,	574675236746690560,	781077725292142593,	pluto猪猪,	2023-11-26 09:40:53,56分21秒,WEB,直接访问,182.204.22.89,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,无	,	780763000977104898,测试环境-1,是,是,是,是,是,
15,	595218143807275008,	781212123056447490,	薄荷冰,	2023-11-26 18:36:02,57分58秒,WEB,直接访问,60.167.182.235,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,无	,检测记忆力	,	780763000977104898,测试环境-1,是,是,是,是,是,
16,	634030444760793088,	781252299061338113,	笙笙,	2023-11-26 21:24:58,1小时7分15秒,WEB,直接访问,36.134.127.131,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,实验做得有些枯燥	,人性	,	780763000977104898,测试环境-1,是,是,是,是,是,
17,	765496939306553346,	781311190025510914,	用户37633,	2023-11-27 01:44:04,1小时32分3秒,WEB,直接访问,182.118.239.155,	780763000175992836,问题反馈,否,-888,-888,-888,从无,G.从无,A.一切正常,是,-999,-999,A.我没有受到任何干扰,-999,-999,通过练习建立图形和词汇的匹配度随着时间的变化、记忆程度看正确度	,	780763000977104898,测试环境-1,是,是,是,是,是,
