Number,Prompt,Measure,Reverse
1,A.我知道我是优秀的，因为每个人都这么说。,narcissistic,n
1,B.当人们称赞我的时候，我有时感到不好意思。,nonNarcissistic,y
2,A.我喜欢作人群中普通的一员。          ,nonNarcissistic,y
2,B.我喜欢成为人群中的焦点。,narcissistic,n
3,A.我认为我是一个独特的人。,narcissistic,n
3,B.我认为我是一个普通的人。                         ,nonNarcissistic,y
4,A.我很想成为一个领导。,narcissistic,n
4,B.我愿意听从指挥。                                     ,nonNarcissistic,y
5,A.我不喜欢操纵别人。  ,nonNarcissistic,y
5,B.我发现操纵别人很容易。                       ,narcissistic,n
6,A.我一定要得到属于我的尊重，否则我不会感到满足。,narcissistic,n
6,B.我常常得到应有的尊重。                                 ,nonNarcissistic,y
7,A.我不喜欢炫耀自己。  ,nonNarcissistic,y
7,B.如果有机会，我会需要自己的优势。   ,narcissistic,n
8,A.我总是知道自己正在做什么。 ,narcissistic,n
8,B.有时候我不太清楚自己正在做什么。           ,nonNarcissistic,y
9,A.每个人都喜欢听我讲故事。   ,narcissistic,n
9,B.有时候我能讲好故事。                            ,nonNarcissistic,y
10,A.我喜欢帮助其他人。  ,nonNarcissistic,y
10,B.我期望从别人那里获得很多。            ,narcissistic,n
11,A.我真的喜欢成为他人关注的焦点。,narcissistic,n
11,B.成为他人关注的焦点会使我感到不舒服。,nonNarcissistic,y
12,A.人们总是承认我的权威性。    ,narcissistic,n
12,B.成为权威人士对我来说意义并不是很重大。,nonNarcissistic,y
13,A.我希望我将来是成功的。         ,nonNarcissistic,y
13,B.我将来会成为一个伟大的人物。,narcissistic,n
14,A.我能很容易的让人相信我所说的任何事。,narcissistic,n
14,B.人们有时候相信我所说的。                 ,nonNarcissistic,y
15,A.我可以从其他人身上学到很多东西。  ,nonNarcissistic,y
15,B.我比其他人更有能力。                     ,narcissistic,n
16,A.我是一个不平凡的人。     ,narcissistic,n
16,B.我和大多数人都差不多。   ,nonNarcissistic,y
